epoch;acc;loss;val_acc;val_loss
0;0.82597656249999996;0.36870132638514042;0.8229245401864449;0.45838366673579289
1;0.94635546874999998;0.13558011570177042;0.82591985887096775;0.69830311355068375
2;0.97180859374999995;0.075520158256673312;0.82152532762096775;0.8198844409292384
3;0.98111718749999999;0.052405391442705875;0.81809160786290325;0.91491303534853463
4;0.98490624999999998;0.042190866553395608;0.81812169312169314;0.94763398145363731
5;0.98754296875000003;0.036260140013537924;0.83190524193548387;0.98829547936029194
6;0.98941796874999999;0.03084023609293763;0.82399823588709675;1.0636451624835195
7;0.99066796874999996;0.027739047900045392;0.82916456653225812;0.97270310476925526
8;0.99170312500000002;0.024509212137003033;0.81594860166288741;1.1652332208351401
9;0.99248046874999996;0.022542596760292098;0.82410849294354838;1.1158258806127348
10;0.99337890625000003;0.020319377442658736;0.82002898185483875;1.2126911354300554
11;0.99357812499999998;0.019497797238332396;0.82300592237903225;1.1559064079267574
12;0.99412109375000002;0.017472554251272795;0.82046800201562109;1.1941153975403085
13;0.99476171874999997;0.016663208887781635;0.81313004032258063;1.1632011051875568
14;0.99483984375000001;0.015926948367760988;0.82421875;1.2008869256791397
